Result,WhiteElo,BlackElo,Event_enc,ECO_enc,Termination_enc,TimeControl_enc
1,1868,2243,3,41,1,0
1,1667,1343,3,115,0,0
1,1910,1555,3,241,0,0
1,1573,1509,3,220,0,0
2,1369,1629,3,241,0,0
1,1662,1493,3,121,1,0
2,1467,1659,3,43,0,0
2,1542,1545,3,120,0,0
2,1493,1824,3,241,1,0
1,1976,1868,3,460,0,0
2,1761,1255,3,107,0,0
1,2215,2202,3,245,0,0
2,1868,2184,3,401,0,0
2,1500,1500,3,301,0,0
1,1605,1065,3,241,0,0
1,1625,1444,3,300,0,0
1,1574,1332,3,200,0,0
2,1810,1669,3,120,0,0
2,1287,1727,3,0,0,0
2,1632,1737,3,300,1,0
2,1648,1813,3,220,0,0
2,1586,1517,3,200,0,0
2,2048,2279,3,202,0,0
2,1669,1856,3,245,1,0
1,1761,1255,3,242,0,0
1,1500,1415,3,40,0,0
2,1746,1790,3,0,0,0
2,1760,1792,3,45,0,0
1,1992,2032,3,300,0,0
1,1444,1500,3,40,1,0
2,1500,1273,3,0,0,0
1,1500,1500,3,220,0,0
2,1500,1715,3,224,1,0
2,1500,1500,3,201,1,0
3,2360,1967,3,40,0,0
2,1486,1545,3,0,0,0
1,2360,1941,3,106,0,0
1,1902,1610,3,128,0,0
2,1941,2187,3,1,0,0
1,1711,1771,3,245,1,0
1,1856,1438,3,101,0,0
1,2187,1603,3,140,0,0
3,1378,1523,3,100,0,0
2,1603,2187,3,278,0,0
1,1771,1603,3,34,1,0
1,1292,1523,3,40,0,0
1,1500,1500,3,101,0,0
1,2187,1500,3,240,0,0
2,1292,1733,3,0,0,0
2,1771,1673,3,395,1,0
2,1941,1792,3,0,1,0
1,1840,1786,3,250,1,0
1,1690,1786,3,190,1,0
1,1500,1500,3,100,0,0
2,1140,1500,3,0,1,0
2,1518,1500,3,244,1,0
1,1518,1500,3,240,1,0
1,1483,1500,3,100,0,0
2,2025,1939,3,136,0,0
2,2025,1968,3,145,0,0
2,1430,1678,3,150,0,0
2,1146,1500,3,40,1,0
2,1786,1676,3,140,1,0
1,1606,1825,3,244,0,0
2,1500,1667,3,220,0,0
1,1667,1500,3,350,0,0
2,1287,1727,3,101,0,0
1,1608,1518,3,267,0,0
2,1509,1456,3,45,0,0
2,1786,1667,3,308,1,0
1,1667,1572,3,424,0,0
2,1343,1667,3,300,0,0
1,1746,1786,3,245,1,0
2,2143,2148,3,241,0,0
2,1512,1572,3,121,0,0
1,1605,1343,3,4,0,0
2,1342,1709,3,101,0,0
2,1701,1734,3,45,1,0
2,1323,1518,3,300,0,0
1,1845,1737,3,220,0,0
2,1233,1784,3,41,0,0
1,1666,1462,3,300,0,0
1,1721,1331,3,107,0,0
1,1855,1475,3,122,0,0
1,1734,1252,3,300,1,0
2,1509,1456,3,120,0,0
1,2308,2146,3,130,1,0
2,1500,1801,3,157,1,0
1,2052,1500,3,388,0,0
3,1491,1592,3,260,0,0
2,1500,1575,3,300,1,0
1,1506,1552,3,244,0,0
3,1539,1258,3,21,0,0
2,1500,1575,3,102,0,0
1,1500,1599,3,224,0,0
1,1646,1599,3,257,0,0
2,1950,1911,3,130,1,0
1,1608,1799,3,244,0,0
1,2076,1899,3,190,0,0
2,1457,1672,3,43,0,0
2,1500,1646,3,244,1,0
2,1500,1575,3,102,1,0
3,1224,1502,3,240,0,0
2,1343,1701,3,300,0,0
1,1701,1343,3,112,0,0
2,1704,1343,3,101,0,0
1,1617,1480,3,102,0,0
2,1497,1587,3,101,0,0
1,1747,1671,3,0,0,0
1,1526,1508,3,0,0,0
1,1575,1708,3,107,0,0
1,1343,1708,3,300,0,0
2,1575,1673,3,250,0,0
1,1673,1575,3,302,0,0
2,1655,2008,3,101,1,0
1,1727,1287,3,240,0,0
3,1603,1482,3,220,0,0
3,1485,1551,3,0,0,0
2,1731,1812,3,302,1,0
2,1500,1500,3,121,1,0
1,1521,1489,3,300,0,0
2,1500,1511,3,302,1,0
2,1500,1511,3,300,1,0
1,1511,1500,3,241,1,0
1,1662,1511,3,257,0,0
2,1742,1743,3,242,0,0
2,1500,1500,3,250,1,0
2,1511,1500,3,244,1,0
2,1548,1491,3,102,0,0
1,1662,1894,3,258,1,0
2,1500,1511,3,246,0,0
2,1511,1545,3,120,1,0
2,1894,1852,3,288,1,0
2,1488,1597,3,260,0,0
2,1500,1610,3,300,0,0
2,1484,1737,3,241,1,0
2,1484,1500,3,241,1,0
1,1515,1500,3,0,1,0
2,1484,1880,3,268,1,0
2,1740,1662,3,21,1,0
1,1255,1761,3,21,0,0
1,1500,1518,3,260,0,0
1,1830,1910,3,353,0,0
1,1877,1577,3,220,0,0
1,1939,2008,3,143,0,0
1,1663,1484,3,202,1,0
2,1482,1484,3,10,1,0
1,1830,1482,3,306,1,0
2,1500,1500,3,0,1,0
2,1500,1511,3,306,0,0
2,1500,1511,3,265,1,0
1,1484,1500,3,150,1,0
2,1778,1966,3,227,0,0
2,1500,1645,3,101,1,0
1,1484,1500,3,15,0,0
1,1611,1475,3,220,0,0
1,1287,1500,3,454,1,0
1,1522,1500,3,121,1,0
2,1639,1500,3,2,0,0
2,1498,1639,3,0,0,0
1,1639,1500,3,3,1,0
2,1500,1498,3,101,1,0
1,1727,1660,3,100,0,0
2,1346,1690,3,45,0,0
3,1366,1431,3,40,0,0
2,1696,1659,3,120,0,0
1,1500,1659,3,150,0,0
1,1830,1500,3,320,0,0
2,1500,1500,3,45,1,0
2,1639,1691,3,3,0,0
1,1691,1639,3,201,0,0
1,1500,1500,3,129,1,0
2,1860,1691,3,22,0,0
2,1691,1637,3,257,0,0
1,1608,1524,3,0,0,0
1,1381,1500,3,1,1,0
2,1500,1388,3,100,1,0
1,1683,1500,3,220,1,0
2,1500,1500,3,246,0,0
2,1398,1500,3,240,1,0
2,1500,1757,3,200,1,0
2,1691,1463,3,252,0,0
1,1951,1977,3,100,0,0
2,1343,1864,3,300,1,0
2,1977,1951,3,30,0,0
2,1864,1951,3,171,0,0
2,1471,1588,3,106,0,0
2,1510,1617,3,125,0,0
2,1281,1782,3,120,0,0
2,1500,1792,3,1,1,0
2,1778,1848,3,220,0,0
3,1500,1500,3,300,0,0
1,1500,1685,3,321,0,0
1,1758,1738,3,120,0,0
1,1457,1401,3,40,0,0
2,1773,1960,3,250,0,0
1,1940,1984,3,8,0,0
2,1689,1947,3,120,0,0
1,1884,1753,3,101,0,0
1,1914,1324,3,220,0,0
1,1804,1500,3,306,1,0
1,1707,1609,3,257,0,0
1,2066,2218,3,331,0,0
2,1983,2218,3,331,0,0
1,1940,2218,3,7,0,0
1,1249,1512,3,321,0,0
2,1798,1817,3,343,1,0
2,1452,1678,3,41,0,0
1,1612,1426,3,246,0,0
2,1297,1821,3,244,0,0
2,1771,1399,3,140,1,0
1,1500,1500,3,290,0,0
2,1565,1523,3,101,0,0
1,1534,1524,3,250,0,0
1,1823,1295,3,127,0,0
2,1409,1680,3,250,0,0
1,1160,1438,3,244,0,0
2,1343,1588,3,200,1,0
1,1474,1571,3,120,0,0
1,1658,1571,3,140,1,0
2,1498,1624,3,200,0,0
2,1277,1515,3,101,0,0
1,2218,2312,3,53,1,0
2,1277,1500,3,255,0,0
3,1287,1727,3,0,0,0
2,1632,1491,3,242,0,0
1,1673,1658,3,302,0,0
1,1684,1467,3,306,0,0
1,1314,1277,3,102,0,0
1,1761,1711,3,280,0,0
2,1429,1368,3,0,0,0
2,1761,1679,3,123,0,0
1,1933,1827,3,306,0,0
2,1460,1690,3,0,0,0
1,1672,1450,3,200,0,0
1,1500,1500,3,220,0,0
2,1688,2266,3,242,0,0
1,1864,1864,3,250,0,0
1,1507,1616,3,123,0,0
2,1546,1553,3,0,0,0
2,1864,1938,3,130,0,0
1,1547,1489,3,0,0,0
2,1754,1500,3,9,0,0
2,1500,1597,3,240,0,0
2,1287,1727,3,102,0,0
2,1636,1920,3,35,0,0
2,2071,2218,3,330,0,0
1,1636,1500,3,34,1,0
2,1761,1255,3,0,0,0
2,1667,1343,3,306,0,0
2,1760,1938,3,220,1,0
2,1343,1667,3,0,0,0
2,1920,2050,3,121,0,0
1,1920,1667,3,255,0,0
1,2226,1875,3,320,0,0
1,1727,1287,3,405,0,0
2,1667,1920,3,101,0,0
2,1500,1500,3,300,0,0
2,1684,1447,3,101,0,0
1,1486,1545,3,4,0,0
2,1799,1894,3,311,0,0
2,1429,1615,3,106,0,0
1,1769,1618,3,120,0,0
2,1411,1726,3,302,1,0
2,1667,1343,3,123,0,0
2,1463,1624,3,260,0,0
3,1438,1600,3,4,0,0
2,1465,1665,3,300,0,0
2,1976,2235,3,245,0,0
1,1635,1453,3,220,0,0
2,1500,1500,3,375,0,0
1,1380,1417,3,0,0,0
1,1500,1606,3,250,0,0
1,1500,1500,3,242,1,0
2,1416,1426,3,80,1,0
1,1443,1645,3,101,0,0
1,2338,1860,3,315,0,0
1,1500,1500,3,222,1,0
2,1500,1607,3,100,1,0
1,1574,1607,3,100,0,0
2,1910,1768,3,101,0,0
2,1522,1602,3,123,0,0
2,1500,1500,3,220,0,0
2,1667,1343,3,320,0,0
2,1579,1500,3,1,0,0
1,1667,1343,3,107,0,0
2,1611,1514,3,261,0,0
1,1619,1471,3,300,0,0
2,1528,1597,3,200,0,0
2,1737,1828,3,244,0,0
1,1989,1997,3,245,0,0
1,1503,1710,3,108,0,0
2,1506,1522,3,120,0,0
2,1500,1500,3,300,1,0
1,1826,1735,3,125,1,0
2,1607,1520,3,242,0,0
1,1392,1406,3,0,0,0
2,1500,1500,3,220,0,0
1,1867,1500,3,240,1,0
1,1658,1500,3,244,1,0
2,1867,1826,3,246,0,0
1,1521,1590,3,253,0,0
1,1826,1797,3,220,0,0
